epoch,accuracy,loss,val_accuracy,val_loss
0,0.8897239,0.25463715802739667,0.94583446,0.1431727164049838
1,0.88989776,0.2543951602266987,0.94419616,0.14618066812420255
2,0.88995165,0.2542226162286686,0.94476736,0.14454594501460985
3,0.88999265,0.25408172724598815,0.9433571,0.1481965549126011
4,0.89009213,0.25395411909926047,0.9438356,0.14666889616559423
5,0.8906126,0.2529082569703738,0.9441673,0.14574971000520567
6,0.89062726,0.25286361880848757,0.94375736,0.14650073541876407
7,0.89065605,0.2528225215112551,0.9436153,0.14692375612826858
8,0.8907075,0.2527830892729024,0.9434354,0.14704676224823243
9,0.89085096,0.25244826483960287,0.9435141,0.14699966286597402
10,0.8908526,0.25243607008237445,0.9440194,0.1460201746562361
11,0.8908557,0.2524242743823354,0.9434197,0.14704994838450508
12,0.8908688,0.25241257421537827,0.9433596,0.14713470799330394
